mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005997753143310547,0.0010998511719559627,0.0022000789642333983,0.0007481498182982978,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.6775510204081633,0.5306122448979592,0.73109243697479,0.4813186813186814,0.2857142857142857,0.541257733862776,0.15723965454666544,49
0.005200481414794922,0.001600313218613673,0.001800203323364258,0.00039989957867441947,0.1,1,poly,"{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}",0.6775510204081633,0.4693877551020408,0.73109243697479,0.4813186813186814,0.7142857142857143,0.614727121617878,0.11517029621704974,11
0.0034001827239990234,0.0004899017073328082,0.0009996414184570313,3.504023183989303e-07,0.1,1,sigmoid,"{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}",0.6775510204081633,0.4693877551020408,0.73109243697479,0.4813186813186814,0.7142857142857143,0.614727121617878,0.11517029621704974,11
0.004599857330322266,0.0004904075191221414,0.0018000602722167969,0.0003995905628054655,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6775510204081633,0.5306122448979592,0.73109243697479,0.4813186813186814,0.2857142857142857,0.541257733862776,0.15723965454666544,49
0.00420083999633789,0.0007482263583218452,0.0017995834350585938,0.000748646912195829,0.1,0.1,poly,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",0.6775510204081633,0.4693877551020408,0.73109243697479,0.4813186813186814,0.7142857142857143,0.614727121617878,0.11517029621704974,11
0.004399824142456055,0.0004895511194711668,0.001599740982055664,0.0004897457564161191,0.1,0.1,sigmoid,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.6775510204081633,0.4693877551020408,0.73109243697479,0.4813186813186814,0.7142857142857143,0.614727121617878,0.11517029621704974,11
0.004799795150756836,0.0007481243802112766,0.0016004085540771485,0.0004899014288601227,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.6775510204081633,0.5306122448979592,0.73109243697479,0.4813186813186814,0.7142857142857143,0.6269720195770617,0.10151165356730533,1
0.003200340270996094,0.00039992390734128744,0.001399993896484375,0.000490076682194939,0.1,0.01,poly,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}",0.6734693877551021,0.4663265306122448,0.7426470588235293,0.4835164835164836,0.6252747252747253,0.598246837196417,0.10752337810659711,44
0.003800106048583984,0.0007486340711070756,0.001200389862060547,0.0004002094694901353,0.1,0.01,sigmoid,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6775510204081633,0.4693877551020408,0.73109243697479,0.4813186813186814,0.7142857142857143,0.614727121617878,0.11517029621704974,11
0.005200767517089843,0.0009796859873338632,0.002199602127075195,0.000748086099882669,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.6775510204081633,0.5306122448979592,0.73109243697479,0.4813186813186814,0.7142857142857143,0.6269720195770617,0.10151165356730533,1
0.003599882125854492,0.0008005500314631706,0.0024002552032470702,0.0007994890835134929,0.1,0.001,poly,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,61
0.004399776458740234,0.0008000136043467275,0.0022001266479492188,0.0007483283103817066,0.1,0.001,sigmoid,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.6775510204081633,0.4693877551020408,0.73109243697479,0.4813186813186814,0.7142857142857143,0.614727121617878,0.11517029621704974,11
0.005799245834350586,0.00039992333879854,0.002600574493408203,0.0008002043534024154,0.1,0.0001,rbf,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6775510204081633,0.5306122448979592,0.73109243697479,0.4813186813186814,0.7142857142857143,0.6269720195770617,0.10151165356730533,1
0.003800630569458008,0.0003999472623788005,0.002199745178222656,0.0004001379403725326,0.1,0.0001,poly,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'poly'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,61
0.004599761962890625,0.001356360772764688,0.0022001743316650392,0.0007482519114524909,0.1,0.0001,sigmoid,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.6775510204081633,0.4693877551020408,0.73109243697479,0.4813186813186814,0.7142857142857143,0.614727121617878,0.11517029621704974,11
0.005400419235229492,0.0008004308186298904,0.0017998695373535156,0.0007484050934281885,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.6775510204081633,0.5489795918367347,0.73109243697479,0.4813186813186814,0.2857142857142857,0.5449312032505309,0.15716257415703622,48
0.0042003154754638675,0.000748685112221516,0.0022000789642333983,0.0007480223912376666,1,1,poly,"{'C': 1, 'gamma': 1, 'kernel': 'poly'}",0.6775510204081633,0.4693877551020408,0.73109243697479,0.4813186813186814,0.7142857142857143,0.614727121617878,0.11517029621704974,11
0.004000234603881836,0.0006327112776181564,0.0021999835968017577,0.0007481753193403194,1,1,sigmoid,"{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}",0.6775510204081633,0.4693877551020408,0.73109243697479,0.4813186813186814,0.7142857142857143,0.614727121617878,0.11517029621704974,11
