mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.00040001869201660155,0.0004899208473093903,0.0,0.0,gini,4,auto,100,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 100}",,,,,,,,101
0.00039997100830078123,0.0004898625339533384,0.0,0.0,gini,4,auto,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 200}",,,,,,,,101
0.00019993782043457032,0.00039987564086914064,0.0,0.0,gini,4,auto,300,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 300}",,,,,,,,101
0.00020012855529785156,0.0004002571105957031,0.0,0.0,gini,4,auto,400,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 400}",,,,,,,,101
0.0004000663757324219,0.0004899792418945042,0.0,0.0,gini,4,auto,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 500}",,,,,,,,101
0.1002049446105957,0.01160046561044557,0.008200645446777344,0.0009799584953901974,gini,4,sqrt,100,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}",0.6214285714285713,0.5418367346938775,0.6218487394957983,0.5285714285714285,0.5439560439560439,0.5715283036291439,0.04125359348301033,16
0.23861322402954102,0.015239957602378998,0.01760110855102539,0.0017438981916909275,gini,4,sqrt,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",0.576530612244898,0.5051020408163265,0.7058823529411765,0.5131868131868131,0.5395604395604395,0.5680524517499308,0.07328539848840478,20
0.41202263832092284,0.006841455879096576,0.02600131034851074,0.0020980112410154505,gini,4,sqrt,300,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 300}",0.5928571428571429,0.4989795918367347,0.657563025210084,0.512087912087912,0.5417582417582417,0.5606491827500231,0.05822001143579662,40
0.5840314865112305,0.012791565977947467,0.03540205955505371,0.0036663307568222145,gini,4,sqrt,400,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 400}",0.6112244897959184,0.5265306122448979,0.657563025210084,0.5131868131868131,0.5395604395604395,0.5696130759996306,0.05551555835870233,18
0.7706415176391601,0.02936536252623355,0.038602256774902345,0.003137005776495373,gini,4,sqrt,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 500}",0.5642857142857143,0.5122448979591836,0.6974789915966386,0.5164835164835165,0.5373626373626373,0.5655711515375381,0.06848406548364513,27
0.15080842971801758,0.017267959101191693,0.011600494384765625,0.0008000135475042733,gini,4,log2,100,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 100}",0.5132653061224489,0.5153061224489797,0.7058823529411764,0.5087912087912088,0.5307692307692307,0.5548028442146089,0.07590133230402206,68
0.3210175037384033,0.010936654664663282,0.019001007080078125,0.0014144145261826397,gini,4,log2,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",0.5459183673469388,0.5204081632653061,0.634453781512605,0.5230769230769231,0.5373626373626373,0.552243974512882,0.04215247474487813,82
0.5028270244598388,0.004915451835971125,0.024601078033447264,0.0007998228126422628,gini,4,log2,300,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 300}",0.6081632653061224,0.5163265306122449,0.6785714285714286,0.5186813186813186,0.5395604395604396,0.5722605965463108,0.06270510927396691,15
0.6546350479125976,0.013396198874478574,0.03320188522338867,0.0027858523428500276,gini,4,log2,400,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 400}",0.6234693877551021,0.5142857142857142,0.6932773109243697,0.5131868131868131,0.5417582417582418,0.5771954935820481,0.07060709867047613,11
0.8296443462371826,0.009135100895620562,0.03880200386047363,0.001166318488063218,gini,4,log2,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 500}",0.6438775510204082,0.526530612244898,0.6701680672268907,0.5164835164835164,0.5406593406593407,0.5795438175270109,0.06426599091606322,6
0.0006000995635986328,0.0004899793115016344,0.0,0.0,gini,6,auto,100,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 100}",,,,,,,,101
0.0005999565124511719,0.0004898625107454316,0.0,0.0,gini,6,auto,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 200}",,,,,,,,101
0.001999950408935547,0.0020000457763671873,0.0,0.0,gini,6,auto,300,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 300}",,,,,,,,101
0.0006000518798828125,0.0004899403160383116,0.0,0.0,gini,6,auto,400,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 400}",,,,,,,,101
0.00020017623901367188,0.00040035247802734376,0.0,0.0,gini,6,auto,500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 500}",,,,,,,,101
0.17480926513671874,0.004874568682780065,0.011600589752197266,0.001854949214942625,gini,6,sqrt,100,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 100}",0.5948979591836734,0.5571428571428572,0.6428571428571429,0.5098901098901099,0.5274725274725275,0.5664521193092622,0.047858594381545355,22
